Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,99,25,9,7,79.84,87,42,9,2,67.44,72,52,9,7,58.06,99.29,35.71,58.06,79.84,67.23
claude-sonnet,zero_shot,100,22,8,10,81.97,92,35,8,5,72.44,79,43,8,10,64.75,100.0,29.29,64.75,81.97,72.35
claude-sonnet,zero_shot_self_refine,92,33,8,7,73.6,89,41,8,2,68.46,72,53,8,7,57.6,100.0,25.71,57.6,73.6,64.62
gemini-1.5-flash,few_shot,81,39,9,11,67.5,73,48,9,10,60.33,58,62,9,11,48.33,99.29,22.86,48.33,67.5,56.33
gemini-1.5-flash,zero_shot,78,40,8,14,66.1,76,44,8,12,63.33,58,60,8,14,49.15,100.0,17.86,49.15,66.1,56.38
gemini-1.5-flash,zero_shot_self_refine,73,44,9,14,62.39,70,46,9,15,60.34,54,63,9,14,46.15,99.29,15.0,46.15,62.39,53.06
gpt-3.5-turbo,few_shot,42,34,16,48,55.26,26,69,16,29,27.37,16,60,16,48,21.05,93.57,6.43,21.05,55.26,30.49
gpt-3.5-turbo,zero_shot,48,63,20,9,43.24,41,68,20,11,37.61,25,86,20,9,22.52,91.43,2.86,22.52,43.24,29.62
gpt-3.5-turbo,zero_shot_self_refine,34,76,9,21,30.91,44,66,9,21,40.0,21,89,9,21,19.09,99.29,2.14,19.09,30.91,23.6
gpt-4o-mini,few_shot,80,41,8,11,66.12,59,71,8,2,45.38,47,74,8,11,38.84,100.0,19.29,38.84,66.12,48.94
gpt-4o-mini,zero_shot,88,35,8,9,71.54,64,65,8,3,49.61,52,71,8,9,42.28,100.0,17.14,42.28,71.54,53.15
gpt-4o-mini,zero_shot_self_refine,70,56,8,6,55.56,58,72,8,2,44.62,33,93,8,6,26.19,100.0,3.57,26.19,55.56,35.6
gpt-4o,few_shot,87,39,9,5,69.05,84,47,9,0,64.12,67,59,9,5,53.17,99.29,29.29,53.17,69.05,60.08
gpt-4o,zero_shot,88,37,10,5,70.4,86,43,10,1,66.67,66,59,10,5,52.8,97.86,14.29,52.8,70.4,60.34
gpt-4o,zero_shot_self_refine,85,43,8,4,66.41,85,46,9,0,64.89,61,67,8,4,47.66,100.0,10.71,47.66,66.41,55.49
