Model,Approach,Total_Traces,Accuracy,Precision,Recall,F1_Score,Positive_Satisfaction_Rate,Negative_Falsification_Rate,Error_Rate,Positive_Satisfaction_Count,Negative_Falsification_Count,Positive_Errors,Negative_Errors
gpt-3.5-turbo,zero_shot,612,55.88,55.92,55.56,55.74,55.56,56.21,26.14,170,172,84,76
gpt-3.5-turbo,zero_shot_self_refine,612,56.70,56.90,55.23,56.05,55.23,58.17,25.98,169,178,87,72
gpt-3.5-turbo,few_shot,612,55.23,55.48,52.94,54.18,52.94,57.52,24.51,162,176,78,72
gpt-4o-mini,zero_shot,612,64.54,65.72,60.78,63.16,60.78,68.30,21.24,186,209,78,52
gpt-4o-mini,zero_shot_self_refine,612,64.71,65.62,61.76,63.64,61.76,67.65,20.92,189,207,74,54
gpt-4o-mini,few_shot,612,63.89,65.02,60.13,62.48,60.13,67.65,21.90,184,207,81,53
gpt-4o,zero_shot,612,70.42,73.58,63.73,68.30,63.73,77.12,19.44,195,236,79,40
gpt-4o,zero_shot_self_refine,612,69.28,72.52,62.09,66.90,62.09,76.47,19.77,190,234,78,43
gpt-4o,few_shot,612,68.95,71.97,62.09,66.67,62.09,75.82,19.28,190,232,78,40
claude-sonnet,zero_shot,612,73.69,77.78,66.34,71.60,66.34,81.05,19.12,203,248,76,41
claude-sonnet,zero_shot_self_refine,612,72.71,76.43,65.69,70.65,65.69,79.74,19.44,201,244,78,41
claude-sonnet,few_shot,612,74.51,80.24,65.03,71.84,65.03,83.99,16.83,199,257,70,33
gemini,zero_shot,612,67.97,69.93,63.07,66.32,63.07,72.88,23.86,193,223,86,60
gemini,zero_shot_self_refine,612,68.14,69.75,64.05,66.78,64.05,72.22,23.53,196,221,83,61
gemini,few_shot,612,72.06,76.26,64.05,69.63,64.05,80.07,16.99,196,245,72,32
