Model,Approach,Accuracy,Precision,F1,Sample_Count,Error_Count
gpt-3.5-turbo,zero_shot,50.00,50.00,48.30,612,306
gpt-3.5-turbo,zero_shot_self_refine,49.50,49.50,48.70,612,309
gpt-3.5-turbo,few_shot,53.30,53.40,52.80,612,286
gpt-4o-mini,zero_shot,58.20,69.70,51.00,612,256
gpt-4o-mini,zero_shot_self_refine,55.20,60.60,48.70,612,274
gpt-4o-mini,few_shot,65.20,70.30,62.90,612,213
gpt-4o,zero_shot,72.20,72.40,72.20,612,170
gpt-4o,zero_shot_self_refine,62.70,63.30,62.40,612,228
gpt-4o,few_shot,64.20,65.50,63.40,612,219
claude-sonnet,zero_shot,59.00,62.70,55.80,612,251
claude-sonnet,zero_shot_self_refine,54.10,54.80,52.20,612,281
claude-sonnet,few_shot,55.90,61.30,49.90,612,270
gemini-1.5-flash,zero_shot,71.60,72.00,71.40,612,174
gemini-1.5-flash,zero_shot_self_refine,65.00,76.60,60.80,612,214
gemini-1.5-flash,few_shot,76.00,77.60,75.60,612,147
