Model,Approach,Total_Traces,Accuracy,Precision,Recall,F1_Score,Positive_Satisfaction_Rate,Negative_Falsification_Rate,Error_Rate,Positive_Satisfaction_Count,Negative_Falsification_Count,Positive_Errors,Negative_Errors
gpt-3.5-turbo,zero_shot,612,44.281,44.582,47.059,45.787,47.059,41.503,31.699,144,127,89,105
gpt-3.5-turbo,zero_shot_self_refine,612,47.876,47.826,46.732,47.273,46.732,49.020,29.739,143,150,89,93
gpt-3.5-turbo,few_shot,612,46.732,46.377,41.830,43.986,41.830,51.634,20.752,128,158,62,65
gpt-4o-mini,zero_shot,612,56.373,57.040,51.634,54.202,51.634,61.111,23.693,158,187,85,60
gpt-4o-mini,zero_shot_self_refine,612,58.660,59.044,56.536,57.763,56.536,60.784,23.693,173,186,82,63
gpt-4o-mini,few_shot,612,57.190,58.594,49.020,53.381,49.020,65.359,18.301,150,200,60,52
gpt-4o,zero_shot,612,63.399,65.530,56.536,60.702,56.536,70.261,20.915,173,215,72,56
gpt-4o,zero_shot_self_refine,612,60.948,63.347,51.961,57.092,51.961,69.935,21.732,159,214,77,56
gpt-4o,few_shot,612,66.993,72.034,55.556,62.731,55.556,78.431,14.542,170,240,57,32
claude-sonnet,zero_shot,612,54.248,54.483,51.634,53.020,51.634,56.863,25.490,158,174,86,70
claude-sonnet,zero_shot_self_refine,612,57.026,57.239,55.556,56.385,55.556,58.497,22.876,170,179,80,60
claude-sonnet,few_shot,612,62.418,64.074,56.536,60.069,56.536,68.301,20.588,173,209,75,51
gemini-1.5-flash,zero_shot,612,68.137,70.787,61.765,65.969,61.765,74.510,21.895,189,228,82,52
gemini-1.5-flash,zero_shot_self_refine,612,66.993,68.841,62.092,65.292,62.092,71.895,22.712,190,220,82,57
gemini-1.5-flash,few_shot,612,65.523,67.148,60.784,63.808,60.784,70.261,24.673,186,215,91,60
