Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
gemini-1.5-pro,zero_shot,200,50,52,5,80.0,164,89,52,2,64.82,145,105,52,5,58.0,83.71,3.62,58.0,80.0,67.25
gemini-1.5-pro,zero_shot_self_refine,199,51,52,5,79.6,167,87,52,1,65.75,145,105,52,5,58.0,83.71,3.62,58.0,79.6,67.1
gemini-1.5-pro,few_shot,198,53,51,5,78.88,164,91,51,1,64.31,143,108,51,5,56.97,84.04,3.62,56.97,78.88,66.16
gemini-1.5-flash,zero_shot,189,82,21,15,69.74,156,121,21,9,56.32,123,148,21,15,45.39,93.81,3.29,45.39,69.74,54.99
gemini-1.5-flash,zero_shot_self_refine,190,80,27,10,70.37,156,118,27,6,56.93,129,141,27,10,47.78,91.53,3.29,47.78,70.37,56.91
gemini-1.5-flash,few_shot,190,81,23,13,70.11,156,120,23,8,56.52,126,145,23,13,46.49,93.49,3.29,46.49,70.11,55.91
gemini-2.5-flash,zero_shot,219,71,12,5,75.52,209,85,12,1,71.09,175,115,12,5,60.34,97.07,3.62,60.34,75.52,67.08
gemini-2.5-flash,zero_shot_self_refine,221,71,10,5,75.68,203,92,10,2,68.81,177,115,10,5,60.62,97.72,3.29,60.62,75.68,67.32
gemini-2.5-flash,few_shot,219,70,13,5,75.78,201,92,13,1,68.6,172,117,13,5,59.52,96.74,3.62,59.52,75.78,66.67
claude-sonnet,zero_shot,211,79,11,6,72.76,210,82,11,4,71.92,171,119,11,6,58.97,97.39,3.95,58.97,72.76,65.14
claude-sonnet,zero_shot_self_refine,134,53,116,4,71.66,127,62,116,2,67.2,106,81,116,4,56.68,62.54,2.0,56.68,71.66,63.3
claude-sonnet,few_shot,219,73,9,6,75.0,216,79,9,3,73.22,183,109,9,6,62.67,98.05,3.91,62.67,75.0,68.28
