Model,Approach,Accuracy,Precision,F1,Sample_Count,Error_Count
gemini-1.5-pro,zero_shot,69.19,71.49,68.36,607,187
gemini-1.5-pro,zero_shot_self_refine,64.54,68.07,62.75,581,206
gemini-1.5-pro,few_shot,69.08,71.50,68.18,608,188
gemini-1.5-flash,zero_shot,70.31,73.47,69.12,549,163
gemini-1.5-flash,zero_shot_self_refine,57.32,70.71,48.47,553,236
gemini-1.5-flash,few_shot,70.31,73.73,69.15,549,163
gemini-2.5-flash,zero_shot,100.00,100.00,100.00,180,0
gemini-2.5-flash,zero_shot_self_refine,99.42,99.43,99.42,171,1
gemini-2.5-flash,few_shot,98.40,98.43,98.38,187,3
claude-sonnet,zero_shot,65.71,68.18,64.13,245,84
claude-sonnet,zero_shot_self_refine,65.75,70.82,63.54,146,50
claude-sonnet,few_shot,63.45,65.28,61.88,249,91
