Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,205,81,10,8,71.68,200,90,10,4,68.97,163,123,10,8,56.99,98.03,23.36,56.99,71.68,63.5
claude-sonnet,zero_shot,206,86,5,7,70.55,212,78,5,9,73.1,170,122,5,7,58.22,99.67,12.17,58.22,70.55,63.79
claude-sonnet,zero_shot_self_refine,191,98,9,6,66.09,203,79,9,13,71.99,154,135,9,6,53.29,98.36,11.84,53.29,66.09,59.0
gemini,few_shot,162,96,21,25,62.79,164,94,21,25,63.57,121,137,21,25,46.9,94.41,10.86,46.9,62.79,53.69
gemini,zero_shot,157,92,16,39,63.05,140,91,16,57,60.61,110,139,16,39,44.18,96.05,4.61,44.18,63.05,51.95
gemini,zero_shot_self_refine,160,101,25,18,61.3,164,85,25,30,65.86,119,142,25,18,45.59,93.09,3.95,45.59,61.3,52.29
gpt-3.5-turbo,few_shot,100,75,76,53,57.14,38,132,76,58,22.35,26,149,76,53,14.86,76.32,2.96,14.86,57.14,23.58
gpt-3.5-turbo,zero_shot,102,126,46,30,44.74,85,139,46,34,37.95,50,178,46,30,21.93,86.18,1.32,21.93,44.74,29.43
gpt-3.5-turbo,zero_shot_self_refine,106,137,27,34,43.62,121,115,27,41,51.27,70,173,27,34,28.81,92.43,1.32,28.81,43.62,34.7
gpt-4o-mini,few_shot,179,107,6,12,62.59,144,151,6,3,48.81,107,179,6,12,37.41,99.34,12.17,37.41,62.59,46.83
gpt-4o-mini,zero_shot,181,111,6,6,61.99,159,136,6,3,53.9,116,176,6,6,39.73,99.34,1.97,39.73,61.99,48.42
gpt-4o-mini,zero_shot_self_refine,170,117,10,7,59.23,152,139,10,3,52.23,104,183,10,7,36.24,98.03,0.33,36.24,59.23,44.96
gpt-4o,few_shot,193,95,10,6,67.01,196,96,10,2,67.12,149,139,10,6,51.74,98.03,23.03,51.74,67.01,58.39
gpt-4o,zero_shot,208,84,8,4,71.23,201,91,9,3,68.84,162,130,8,4,55.48,98.68,3.62,55.48,71.23,62.38
gpt-4o,zero_shot_self_refine,194,88,18,4,68.79,190,92,18,4,67.38,144,138,18,4,51.06,95.39,2.96,51.06,68.79,58.62
