Model,Approach,Total_Samples,Yes_Samples,No_Samples,True_Positives,True_Negatives,False_Positives,False_Negatives,Accuracy,Precision,Recall,F1_Score
claude-sonnet,few_shot,300,150,150,105,135,15,45,80.00,87.50,70.00,77.78
claude-sonnet,zero_shot,300,150,150,98,135,15,52,77.67,86.73,65.33,74.52
claude-sonnet,zero_shot_self_refine,300,150,150,86,146,4,64,77.33,95.56,57.33,71.67
gemini,few_shot,300,150,150,134,119,31,16,84.33,81.21,89.33,85.08
gemini,zero_shot,300,150,150,101,127,23,49,76.00,81.45,67.33,73.72
gemini,zero_shot_self_refine,300,150,150,75,131,19,75,68.67,79.79,50.00,61.48
gpt-3.5-turbo,few_shot,300,150,150,86,97,53,64,61.00,61.87,57.33,59.52
gpt-3.5-turbo,zero_shot,300,150,150,39,122,28,111,53.67,58.21,26.00,35.94
gpt-3.5-turbo,zero_shot_self_refine,300,150,150,88,47,103,62,45.00,46.07,58.67,51.61
gpt-4o,few_shot,300,150,150,49,149,1,101,66.00,98.00,32.67,49.00
gpt-4o,zero_shot,300,150,150,53,148,2,97,67.00,96.36,35.33,51.71
gpt-4o,zero_shot_self_refine,300,150,150,50,150,0,100,66.67,100.00,33.33,50.00
gpt-4o-mini,few_shot,300,150,150,60,137,13,90,65.67,82.19,40.00,53.81
gpt-4o-mini,zero_shot,300,150,150,26,148,2,124,58.00,92.86,17.33,29.21
gpt-4o-mini,zero_shot_self_refine,300,150,150,79,128,22,71,69.00,78.22,52.67,62.95
