Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,224,53,6,1,80.87,226,51,6,1,81.59,184,93,6,1,66.43,98.94,13.38,66.43,80.87,72.94
claude-sonnet,zero_shot,224,53,4,3,80.87,229,45,4,6,83.58,193,84,4,3,69.68,99.65,11.97,69.68,80.87,74.86
claude-sonnet,zero_shot_self_refine,207,71,5,1,74.46,224,52,5,3,81.16,172,106,5,1,61.87,99.3,8.1,61.87,74.46,67.58
gemini,few_shot,219,44,12,9,83.27,207,50,12,15,80.54,184,79,12,9,69.96,96.83,14.44,69.96,83.27,76.04
gemini,zero_shot,200,40,20,24,83.33,178,43,20,43,80.54,158,82,20,24,65.83,93.66,7.75,65.83,83.33,73.56
gemini,zero_shot_self_refine,137,36,98,13,79.19,118,36,98,32,76.62,105,68,98,13,60.69,66.2,4.93,60.69,79.19,68.72
gpt-3.5-turbo,few_shot,121,76,61,26,61.42,112,72,61,39,60.87,72,125,61,26,36.55,79.58,0.35,36.55,61.42,45.83
gpt-3.5-turbo,zero_shot,153,83,40,8,64.83,151,79,40,14,65.65,105,131,40,8,44.49,86.62,0.0,44.49,64.83,52.77
gpt-3.5-turbo,zero_shot_self_refine,95,111,45,33,46.12,120,60,45,59,66.67,65,141,45,33,31.55,84.86,0.7,31.55,46.12,37.47
gpt-4o-mini,few_shot,202,52,25,5,79.53,194,59,25,6,76.68,162,92,25,5,63.78,92.25,5.99,63.78,79.53,70.79
gpt-4o-mini,zero_shot,192,45,45,2,81.01,186,51,45,2,78.48,156,81,45,2,65.82,85.21,0.0,65.82,81.01,72.63
gpt-4o-mini,zero_shot_self_refine,164,49,69,2,77.0,150,61,69,4,71.09,116,97,69,2,54.46,76.76,1.06,54.46,77.0,63.8
gpt-4o,few_shot,219,59,4,2,78.78,225,52,4,3,81.23,180,98,4,2,64.75,99.65,15.49,64.75,78.78,71.08
gpt-4o,zero_shot,215,58,10,1,78.75,219,51,10,4,81.11,179,94,10,1,65.57,97.54,3.52,65.57,78.75,71.56
gpt-4o,zero_shot_self_refine,183,71,28,2,72.05,198,52,28,6,79.2,152,102,28,2,59.84,91.2,3.17,59.84,72.05,65.38
