Model,Approach,Total_Samples,Accuracy,Precision,Recall,F1,Jaccard,Levenshtein
claude-sonnet,few_shot,143,65.31,72.03,67.79,69.26,0.86,3.05
claude-sonnet,zero_shot,143,64.05,70.86,67.27,68.40,0.86,3.29
claude-sonnet,zero_shot_self_refine,143,64.42,71.45,67.76,68.85,0.86,3.13
gemini,few_shot,143,69.01,76.34,72.52,73.67,0.88,2.47
gemini,zero_shot,143,63.99,71.38,67.39,68.73,0.86,3.05
gemini,zero_shot_self_refine,143,64.84,72.38,68.32,69.68,0.86,2.94
gpt-3.5-turbo,few_shot,143,67.83,74.97,71.59,72.46,0.87,2.82
gpt-3.5-turbo,zero_shot,143,58.22,64.90,61.68,62.62,0.82,3.96
gpt-3.5-turbo,zero_shot_self_refine,143,56.46,63.15,60.28,61.09,0.82,4.21
gpt-4o,few_shot,143,68.51,75.35,71.12,72.61,0.87,2.74
gpt-4o,zero_shot,143,67.68,74.88,70.71,72.18,0.87,2.57
gpt-4o,zero_shot_self_refine,143,66.48,73.43,69.78,70.95,0.87,2.86
gpt-4o-mini,few_shot,143,67.00,74.07,70.01,71.38,0.87,2.68
gpt-4o-mini,zero_shot,143,62.43,69.99,66.34,67.51,0.84,3.46
gpt-4o-mini,zero_shot_self_refine,143,61.05,68.36,64.42,65.81,0.82,3.56
