Natural Language,Ground Truth,Atomic Proposition,AST
it eventually holds that if x1 is true then x2 is true thereafter,F(x1 -> G(x2)),"x1 : x1 , x2 : x2","Eventually(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1 -> (X(!x1) & X(X(x1)))),x1 : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),x1 : x1,"Next(Next(Next(Next(Eventually(AtomicProposition(""x1""))))))"
at some point x1 is true and x2 is false thereafter,F(x1 & G(X(!x2))),"x1 : x1 , x2 : x2","Eventually(LAnd(AtomicProposition(""x1""),Always(Next(Not(AtomicProposition(""x2""))))))"
"whenever x1 is true, x1 must be false in the future until x2 holds (and x2 will hold at some point in the future)",G(x1 -> X(!x1 U x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))"
x1 is true at some point and x2 is always false,F(x1) & G(!x2),"x1 : x1 , x2 : x2","LAnd(Eventually(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x2""))))"
"if x1 is ever true at some point, x2 must always be true",F(x1) -> G(x2),"x1 : x1 , x2 : x2","LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
"whenever x1 is true, x2 will be true at some point in the future",G(x1 -> F(x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
"Whenever x1 holds, it cannot hold again until x2 does",G(x1 -> X(!x1 U x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))"
"If x1, then it is always the case that x2 is true until x3 is false.",x1 -> G(x2 U !x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(AtomicProposition(""x1""),Always(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))"
"Every time x1 is true, eventually x2 is true or the next x3 is false",G(x1 -> (F(x2) | X(!x3))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),LOr(Eventually(AtomicProposition(""x2"")),Next(Not(AtomicProposition(""x3""))))))"
x1 cannot be true three states in a row,G((x1 & X(x1)) -> X(X(!x1))),x1 : x1,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
x1 is true in exactly one state.,F(x1) & G(x1 -> X(G(!x1))),x1 : x1,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
"Considering x1 and x2 as two threads both attempting to add lock on a variable. describe the rule that ""No more than one thread can have that lock"". Take true as success on locking and false as failure.",G((x1 & !x2) | (!x1 & x2) | (!x1 & !x2)),"x1 : x1 , x2 : x2","Always(LOr(LOr(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))))"
Make x2 hold in any and only those states which come after the last state in which x1 holds.,G (x1-> X(!x1 U X2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""X2"")))))"
"Given a request signal x1, the grant signal x2 should eventually be asserted.",G(x1 -> F(X(x2))),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Eventually(Next(AtomicProposition(""x2"")))))"
"It is never eventually false that if x1 is true then x2 and x3 are true, but only after x4 is true (which will happen).",G (F(x4 -> (!(F !x1->(x2 & x3))))),"x1 : x1 , x2 : x2 , x3 : x3","Always(Eventually(LImplies(AtomicProposition(""x4""),Not(LImplies(Eventually(Not(AtomicProposition(""x1""))),LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))))"
It is always true that x1 is true and that x1 will eventually become false.,G(x1 &  F(!x1)),x1 : x1,"Always(LAnd(AtomicProposition(""x1""),Eventually(Not(AtomicProposition(""x1"")))))"
The pattern of true and false of x1 in the first 3 entries repeats.,G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),x1 : x1,"Always(LOr(LAnd(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),Next(Next(AtomicProposition(""x1"")))),LAnd(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1"")))))))"
"x1 starts true, and then never again becomes true.",x1 & X(G(!x1)),x1 : x1,"LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))"
"x1 will always be true if x2 is false, unless x3 is also true",G ((!x2 & !x3) -> x1),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))"
x1 starts true and is true exactly every third state,x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),x1 : x1,"LAnd(AtomicProposition(""x1""),Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))),Next(Next(Next(AtomicProposition(""x1""))))))))"
"if x1 is true two times in a row, it is never true again.",G((x1 & X(x1)) -> X(X(G(!x1)))),x1 : x1,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Always(Not(AtomicProposition(""x1"")))))))"
"There are three people running a relay race. Person x1 will go first, then eventually person x2 will go, then finally x3 will go until the end of the race. Only one person is running in the relay race at once.",x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(LAnd(AtomicProposition(""x1""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(Eventually(LAnd(AtomicProposition(""x2""),LOr(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))))),LAnd(Eventually(LAnd(AtomicProposition(""x3""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Always(AtomicProposition(""x3"")))))"
"For a while, it is never the case that x1 is true and x2 is false at the same time, but after a certain point, x2 will eventually always be true.",!(x1 & !x2) U (F(G(x2))),"x1 : x1 , x2 : x2","Until(Not(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))), Eventually(Always(AtomicProposition(""x2""))))"
if x1 is true at the beginning then x2 is true at the end,G(x1->F(x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
x2 always holds if x1 and x3 do not hold,(!x1 & !x3) -> G(x2),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x2"")))"
"x2 is always true, whereas x1 is only sometimes true.",G(x2) & F(x1) & F(!x1),"x1 : x1 , x2 : x2","LAnd(LAnd(Always(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))"
"If x1 is true, then x2 must have just transitioned from true to false.",G(X(x1) -> (x2 & !X(x2))),"x1 : x1 , x2 : x2","Always(LImplies(Next(AtomicProposition(""x1"")),LAnd(AtomicProposition(""x2""),Not(Next(AtomicProposition(""x2""))))))"
trace of x1 is repeated with with the period of 5 (x at time t+5 will always be x at t),G(x1<->X(X(X(X(X(x1)))))),x1 : x1,"Always(LEquiv(AtomicProposition(""x1""),Next(Next(Next(Next(Next(AtomicProposition(""x1""))))))))"
"x1 will never be true or it'll keep being true, at least occasionally, forever",G(!x1) | G(F(x1)),x1 : x1,"LOr(Always(Not(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))"
"Whenever x1 is true, x1 is false and x2 is true in the state after; whenever x2 is true, x1 is false and x1 is true in the state after",G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"x1 : x1 , x2 : x2","Always(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x"")),Next(AtomicProposition(""x2"")))),LImplies(AtomicProposition(""x2""),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))))"
"If it at least rains once, or on alternating days, (rain being the boolean x1), the bean will eventually sprout (x2).",x1 & X(!x1) | !x1 & X(x1) -> x2,"""rain"" : x1 , ""sprout"" : x2","LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))"
x1 is true exactly twice,F(x1 & X(F(x1 & G(!x1)))),x1 : x1,"Eventually(LAnd(AtomicProposition(""x1""),Next(Eventually(LAnd(AtomicProposition(""x1""),Always(Not(AtomicProposition(""x1""))))))))"
