model,prompt_type,exact_match_accuracy,semantic_equivalence,gt_entails_model,model_entails_gt,syntax_ok_rate,equivalent_count,not_equivalent_count,precision,recall,f1_score,valid_samples
gemini-1.5-pro,zero_shot,3.62,58.0,80.0,64.82,83.71,145,105,58.0,80.0,67.25,304
gemini-1.5-pro,zero_shot_self_refine,3.62,58.0,79.6,65.75,83.71,145,105,58.0,79.6,67.1,304
gemini-1.5-pro,few_shot,3.62,56.97,78.88,64.31,84.04,143,108,56.97,78.88,66.16,304
gemini-1.5-flash,zero_shot,3.29,45.39,69.74,56.32,93.81,123,148,45.39,69.74,54.99,304
gemini-1.5-flash,zero_shot_self_refine,3.29,47.78,70.37,56.93,91.53,129,141,47.78,70.37,56.91,304
gemini-1.5-flash,few_shot,3.29,46.49,70.11,56.52,93.49,126,145,46.49,70.11,55.91,304
gemini-2.5-flash,zero_shot,3.62,60.34,75.52,71.09,97.07,175,115,60.34,75.52,67.08,304
gemini-2.5-flash,zero_shot_self_refine,3.29,60.62,75.68,68.81,97.72,177,115,60.62,75.68,67.32,304
gemini-2.5-flash,few_shot,3.62,59.52,75.78,68.6,96.74,172,117,59.52,75.78,66.67,304
claude-3.5-sonnet,zero_shot,3.95,58.97,72.76,71.92,97.39,171,119,58.97,72.76,65.14,304
claude-3.5-sonnet,zero_shot_self_refine,2.0,56.68,71.66,67.2,62.54,106,81,56.68,71.66,63.3,200
claude-3.5-sonnet,few_shot,3.91,62.67,75.0,73.22,98.05,183,109,62.67,75.0,68.28,307
