Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response,Standard LTL,Standardized LTL,standard_ltl,LTL Formula
gemini-1.5-pro,zero_shot,it eventually holds that if x1 is true then x2 is true thereafter,"x1 : x1 , x2 : x2",F(x1 -> G(x2)),"```python
formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(AtomicProposition(""x2""))))
```","formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(AtomicProposition(""x2""))))","formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") -> G(AtomicProposition(""x2""))))",F((x1 -> G(x2)))
gemini-1.5-pro,zero_shot,"whenever x1 is true, it becomes false in the next state and true again in the state after that",x1 : x1,G(x1 -> (X(!x1) & X(X(x1)))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (!(X(AtomicProposition(""x1""))) & X(X(AtomicProposition(""x1""))))))",G((x1 -> (!(X(x1)) & X(X(x1)))))
gemini-1.5-pro,zero_shot,x1 is true sometime after 4 or more transitions,x1 : x1,X(X(X(X(F(x1))))),"```python
formulaToFind = Eventually(Next(Next(Next(Next(AtomicProposition(""x1""))))))
```","formulaToFind = Eventually(Next(Next(Next(Next(AtomicProposition(""x1""))))))","formulaToFind = Eventually(Next(Next(Next(Next(AtomicProposition(""x1""))))))","ERROR: invalid syntax (<unknown>, line 1)","F(X(X(X(X(AtomicProposition(""x1""))))))",F(X(X(X(X(x1)))))
gemini-1.5-pro,zero_shot,at some point x1 is true and x2 is false thereafter,"x1 : x1 , x2 : x2",F(x1 & G(X(!x2))),"```python
formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Always(LNot(AtomicProposition(""x2""))))))
```","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Always(LNot(AtomicProposition(""x2""))))))","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Always(LNot(AtomicProposition(""x2""))))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") & X(G(!(AtomicProposition(""x2""))))))",F((x1 & X(G(!(x2)))))
gemini-1.5-pro,zero_shot,"whenever x1 is true, x1 must be false in the future until x2 holds (and x2 will hold at some point in the future)","x1 : x1 , x2 : x2",G(x1 -> X(!x1 U x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (!(AtomicProposition(""x1"")) U AtomicProposition(""x2""))))",G((x1 -> (!(x1) U x2)))
gemini-1.5-pro,zero_shot,x1 is true at some point and x2 is always false,"x1 : x1 , x2 : x2",F(x1) & G(!x2),"```python
formulaToFind = LAnd(Eventually(AtomicProposition(""x1"")), Always(LNot(AtomicProposition(""x2""))))
```","formulaToFind = LAnd(Eventually(AtomicProposition(""x1"")), Always(LNot(AtomicProposition(""x2""))))","formulaToFind = LAnd(Eventually(AtomicProposition(""x1"")), Always(LNot(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(F(AtomicProposition(""x1"")) & G(!(AtomicProposition(""x2""))))",(F(x1) & G(!(x2)))
gemini-1.5-pro,zero_shot,"if x1 is ever true at some point, x2 must always be true","x1 : x1 , x2 : x2",F(x1) -> G(x2),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","(F(AtomicProposition(""x1"")) -> G(AtomicProposition(""x2"")))",(F(x1) -> G(x2))
gemini-1.5-pro,zero_shot,"whenever x1 is true, x2 will be true at some point in the future","x1 : x1 , x2 : x2",G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> F(AtomicProposition(""x2""))))",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,"Whenever x1 holds, it cannot hold again until x2 does","x1 : x1 , x2 : x2",G(x1 -> X(!x1 U x2)),"```python
formulaToFind = Always(LImplies(x1, Until(LNot(x1), x2)))
```","formulaToFind = Always(LImplies(x1, Until(LNot(x1), x2)))","formulaToFind = Always(LImplies(x1, Until(LNot(x1), x2)))","ERROR: invalid syntax (<unknown>, line 1)",G((x1 -> (!(x1) U x2))),Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,"If x1, then it is always the case that x2 is true until x3 is false.","x1 : x1 , x2 : x2 , x3 : x3",x1 -> G(x2 U !x3),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))
```","formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))","formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> (AtomicProposition(""x2"") U !(AtomicProposition(""x3""))))",(x1 -> (x2 U !(x3)))
gemini-1.5-pro,zero_shot,"Every time x1 is true, eventually x2 is true or the next x3 is false","x1 : x1 , x2 : x2 , x3 : x3",G(x1 -> (F(x2) | X(!x3))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LOr(Eventually(AtomicProposition(""x2"")), LNot(Next(AtomicProposition(""x3""))))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LOr(Eventually(AtomicProposition(""x2"")), LNot(Next(AtomicProposition(""x3""))))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LOr(Eventually(AtomicProposition(""x2"")), LNot(Next(AtomicProposition(""x3""))))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (F(AtomicProposition(""x2"")) | !(X(AtomicProposition(""x3""))))))",G((x1 -> (F(x2) | !(X(x3)))))
