model1,model2,yes,no,total_valid,yes_pct
Ground Truth,claude-3.5-sonnet_few_shot,103,19,122,84.43
Ground Truth,claude-3.5-sonnet_zero_shot,103,19,122,84.43
Ground Truth,claude-3.5-sonnet_zero_shot_self_refine,98,22,120,81.67
Ground Truth,gemini-1.5-flash_few_shot,89,34,123,72.36
Ground Truth,gemini-1.5-flash_zero_shot,89,34,123,72.36
Ground Truth,gemini-1.5-flash_zero_shot_self_refine,86,36,122,70.49
Ground Truth,gemini-1.5-pro_few_shot,93,18,111,83.78
Ground Truth,gemini-1.5-pro_zero_shot,93,17,110,84.55
Ground Truth,gemini-1.5-pro_zero_shot_self_refine,95,16,111,85.59
Ground Truth,gemini-2.5-flash_few_shot,97,27,124,78.23
Ground Truth,gemini-2.5-flash_zero_shot,102,23,125,81.6
Ground Truth,gemini-2.5-flash_zero_shot_self_refine,103,23,126,81.75
claude-3.5-sonnet_few_shot,Ground Truth,96,29,125,76.8
claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot,114,13,127,89.76
claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot_self_refine,111,15,126,88.1
claude-3.5-sonnet_few_shot,gemini-1.5-flash_few_shot,94,32,126,74.6
claude-3.5-sonnet_few_shot,gemini-1.5-flash_zero_shot,96,30,126,76.19
claude-3.5-sonnet_few_shot,gemini-1.5-flash_zero_shot_self_refine,92,34,126,73.02
claude-3.5-sonnet_few_shot,gemini-1.5-pro_few_shot,102,15,117,87.18
claude-3.5-sonnet_few_shot,gemini-1.5-pro_zero_shot,102,14,116,87.93
claude-3.5-sonnet_few_shot,gemini-1.5-pro_zero_shot_self_refine,101,16,117,86.32
claude-3.5-sonnet_few_shot,gemini-2.5-flash_few_shot,105,22,127,82.68
claude-3.5-sonnet_few_shot,gemini-2.5-flash_zero_shot,109,19,128,85.16
claude-3.5-sonnet_few_shot,gemini-2.5-flash_zero_shot_self_refine,107,22,129,82.95
claude-3.5-sonnet_zero_shot,Ground Truth,95,29,124,76.61
claude-3.5-sonnet_zero_shot,claude-3.5-sonnet_few_shot,116,10,126,92.06
claude-3.5-sonnet_zero_shot,claude-3.5-sonnet_zero_shot_self_refine,114,13,127,89.76
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_few_shot,97,33,130,74.62
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_zero_shot,99,30,129,76.74
claude-3.5-sonnet_zero_shot,gemini-1.5-flash_zero_shot_self_refine,98,33,131,74.81
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_few_shot,103,15,118,87.29
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_zero_shot,103,15,118,87.29
claude-3.5-sonnet_zero_shot,gemini-1.5-pro_zero_shot_self_refine,102,15,117,87.18
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_few_shot,105,25,130,80.77
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_zero_shot,109,23,132,82.58
claude-3.5-sonnet_zero_shot,gemini-2.5-flash_zero_shot_self_refine,108,22,130,83.08
claude-3.5-sonnet_zero_shot_self_refine,Ground Truth,95,28,123,77.24
claude-3.5-sonnet_zero_shot_self_refine,claude-3.5-sonnet_few_shot,115,11,126,91.27
claude-3.5-sonnet_zero_shot_self_refine,claude-3.5-sonnet_zero_shot,118,10,128,92.19
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_few_shot,98,28,126,77.78
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_zero_shot,100,27,127,78.74
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_zero_shot_self_refine,98,29,127,77.17
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_few_shot,103,12,115,89.57
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_zero_shot,105,9,114,92.11
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_zero_shot_self_refine,104,10,114,91.23
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_few_shot,109,20,129,84.5
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_zero_shot,114,16,130,87.69
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,111,18,129,86.05
gemini-1.5-flash_few_shot,Ground Truth,68,58,126,53.97
gemini-1.5-flash_few_shot,claude-3.5-sonnet_few_shot,76,49,125,60.8
gemini-1.5-flash_few_shot,claude-3.5-sonnet_zero_shot,83,48,131,63.36
gemini-1.5-flash_few_shot,claude-3.5-sonnet_zero_shot_self_refine,79,47,126,62.7
gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot,130,8,138,94.2
gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot_self_refine,128,8,136,94.12
gemini-1.5-flash_few_shot,gemini-1.5-pro_few_shot,84,32,116,72.41
gemini-1.5-flash_few_shot,gemini-1.5-pro_zero_shot,87,30,117,74.36
