Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response
gemini-1.5-pro,zero_shot,Something good will eventually happen,“Something good” : x1,F(x1),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,zero_shot,The first traffic light is infinitely often green,“Green” x1,G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,zero_shot,Each process 1 and 2 will eventually enter its critical section,“Process enters critical section” : x1,F(x1),"```python
formulaToFind = LAnd(Eventually(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1"")))
```",(F(x1) & F(x1))
gemini-1.5-pro,zero_shot,Each waiting process will eventually enter its critical section,“Waiting process” : x1; “Critical section” : x2,G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,zero_shot,a red phase must be preceded immediately by a yellow phase,“Red’ : x1; “Yellow” : x2;,G(x1 -> (Y(x2))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Yesterday(AtomicProposition(""x2""))))
```",G((x1 -> Y(x2)))
gemini-1.5-pro,zero_shot,Both traffic lights are infinitely often green,“Traffic light is green1” : x1; “Traffic light is green2” : x2,G(F(x1)) & G(F(x2)),"```python
formulaToFind = LAnd(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) & G(F(x2)))
gemini-1.5-pro,zero_shot,"If one light switches from red to green, the other switches from green to red",“Red1’ : x1; “Green1” : x2; “Green2” : x3; “Red2’ : x4;,G ((x1 & X x2) -> (x3 & X x4)),"```python
formulaToFind = Always(LImplies(LAnd(x1, Next(x2)), Next(LAnd(LNot(x3), x4))))
```",Error: Could not extract formula from response
gemini-1.5-pro,zero_shot,The traffic lights are never both green simultaneously,“Green1” x1; “Green2” x2,G(!(x1&x2)),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",G(!((x1 & x2)))
gemini-1.5-pro,zero_shot,Each process 1 and 2 will enter its critical section infinitely often,“Process enters critical section” : x1,G(F(x1)),"```python
formulaToFind = LAnd(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))
```",(G(F(x1)) & G(F(x1)))
gemini-1.5-pro,zero_shot,The machine provides beer infinitely often after initially providing soda three times in a row,“The machine provide beer” : x1,x1 & X(x1) & X(X(x1))->G(F(x1)),"```python
formulaToFind = LAnd(LAnd(Next(Next(Next(AtomicProposition(""x1"")))),LAnd(Next(Next(AtomicProposition(""x1""))),Next(AtomicProposition(""x1"")))), Always(Eventually(AtomicProposition(""x1""))))
```",((X(X(X(x1))) & (X(X(x1)) & X(x1))) & G(F(x1)))
