Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Initial Response,Refined Response,Estimated Cost
gemini-1.5-pro,zero_shot,It previously held that if x1 was true then x2 was true before that.,"x1: x1, x2: x2",O(x1 -> H(x2)),"```python
formulaToFind = Once(LImplies(AtomicProposition(""x1""), Yesterday(AtomicProposition(""x2""))))
```",,7868
gemini-1.5-pro,zero_shot,"Whenever x1 was true, it becomes false in the previous state and true again in the state before that.",x1: x1,H(x1 -> Y(!x1 & Y(x1))),"```python
formulaToFind = Historically(LImplies(AtomicProposition(""x1""), LAnd(LNot(Yesterday(AtomicProposition(""x1""))), Yesterday(Yesterday(AtomicProposition(""x1""))))))
```
",,7961
gemini-1.5-pro,zero_shot,x1 was true sometime before 4 or more transitions.,x1: x2,O(Y(Y(Y(Y(x1))))),"```python
formulaToFind = Once(Yesterday(Yesterday(Yesterday(Yesterday(AtomicProposition(""x1""))))))
```",,7840
gemini-1.5-pro,zero_shot,At some point x1 was true and x2 was false before that.,"x1: x1, x2: x2",O(x1 & H(!x2)),"```python
formulaToFind = Once(LAnd(AtomicProposition(""x1""), Once(LNot(AtomicProposition(""x2"")))))
```
",,7853
gemini-1.5-pro,zero_shot,"Whenever x1 was true, x1 must be false in the past since x2 held (and x2 will held at some point in the past).","x1: x1, x2: x2",H(x1 -> (!x1 S x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Since(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2"")))
```",,7931
gemini-1.5-pro,zero_shot,x1 was true at some point and x2 was historically false.,"x1: x1, x2: x2",O(x1 & H(!x2)),"```python
formulaToFind = LAnd(Once(AtomicProposition(""x1"")), Historically(LNot(AtomicProposition(""x2""))))
```",,7861
gemini-1.5-pro,zero_shot,"If x1 was ever true at some point, x2 must historically be true.","x1: x1, x2: x2",H(x1 -> H(x2)),"```python
formulaToFind = LImplies(Once(AtomicProposition(""x1"")), Historically(AtomicProposition(""x2"")))
```",,7867
gemini-1.5-pro,zero_shot,"Whenever x1 was true, x2 will be true at some point in the past.","x1: x1, x2: x2",H(x1 -> O(x2)),"```python
formulaToFind = LNot(Since(LNot(AtomicProposition(""x2"")), AtomicProposition(""x1"")))
```",,7856
gemini-1.5-pro,zero_shot,"Whenever x1 held, it cannot held again since x2 does.","x1: x1, x2: x2",H(x1 -> (!x1 S x2)),"```python
formulaToFind = Historically(LImplies(x1, LNot(Since(x1, x2))))
```",,7825
gemini-1.5-pro,zero_shot,"If x1, then it was historically the case that x2 was true since x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S !x3)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Historically(Since(AtomicProposition(""x2""), LNot(AtomicProposition(""x3"")))))
```
",,7921
