formula,standard_ltl,model,approach,initial_response,refined_response
"Eventually(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))",F(x1 -> G(x2)),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
","SATISFYING: [x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
"
"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))",G(x1 -> (X(!x1) & X(X(x1)))),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = TRUE] FALSIFYING: [x1 = TRUE];[x1 = TRUE];[x1 = TRUE]
","SATISFYING: [x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = TRUE] FALSIFYING: [x1 = TRUE];[x1 = TRUE];[x1 = TRUE]
"
"Next(Next(Next(Next(Eventually(AtomicProposition(""x1""))))))",X(X(X(X(F(x1))))),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE] FALSIFYING: [x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE]
","SATISFYING: [x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE] FALSIFYING: [x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE]
"
"Eventually(LAnd(AtomicProposition(""x1""),Always(Next(Not(AtomicProposition(""x2""))))))",F(x1 & G(X(!x2))),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = True, x2 = False];[x1 = True, x2 = False] FALSIFYING: [x1 = True, x2 = True];[x1 = True, x2 = False]
","SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE] FALSIFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
"
"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))",G(x1 -> X(!x1 U x2)),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE]
","SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE]
"
"LAnd(Eventually(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x2""))))",F(x1) & G(!x2),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE] FALSIFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
","SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE] FALSIFYING: [x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
"
"LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))",F(x1) -> G(x2),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE]
","SATISFYING: [x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE]
"
"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))",G(x1 -> F(x2)),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE]
","SATISFYING: [x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE]
"
"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))",G(x1 -> X(!x1 U x2)),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE]
","SATISFYING: [x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE]
"
"LImplies(AtomicProposition(""x1""),Always(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))",x1 -> G(x2 U !x3),gemini-1.5-pro,zero_shot_self_refine,"SATISFYING: [x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE] FALSIFYING: [x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE]
","SATISFYING: [x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE] FALSIFYING: [x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE]
"
