Model,Approach,Total_Samples,Yes_Samples,No_Samples,True_Positives,True_Negatives,False_Positives,False_Negatives,Accuracy,Precision,Recall,F1_Score
Claude Sonnet,Few Shot,299,150,149,48,115,34,102,54.52,58.54,32.00,41.38
Claude Sonnet,Zero Shot,299,150,149,61,106,43,89,55.85,58.65,40.67,48.03
Claude Sonnet,Zero Shot Self Refine,299,150,149,35,131,18,115,55.52,66.04,23.33,34.48
Gemini,Few Shot,299,150,149,42,115,34,108,52.51,55.26,28.00,37.17
Gemini,Zero Shot,299,150,149,39,108,41,111,49.16,48.75,26.00,33.91
Gemini,Zero Shot Self Refine,299,150,149,30,120,29,120,50.17,50.85,20.00,28.71
GPT-3.5-Turbo,Few Shot,299,150,149,56,132,17,94,62.88,76.71,37.33,50.22
GPT-3.5-Turbo,Zero Shot,299,150,149,43,139,10,107,60.87,81.13,28.67,42.36
GPT-3.5-Turbo,Zero Shot Self Refine,299,150,149,92,71,78,58,54.52,54.12,61.33,57.50
GPT-4o,Few Shot,299,150,149,97,126,23,53,74.58,80.83,64.67,71.85
GPT-4o,Zero Shot,299,150,149,77,131,18,73,69.57,81.05,51.33,62.86
GPT-4o,Zero Shot Self Refine,299,150,149,96,120,29,54,72.24,76.80,64.00,69.82
GPT-4o-Mini,Few Shot,299,150,149,34,140,9,116,58.19,79.07,22.67,35.23
GPT-4o-Mini,Zero Shot,299,150,149,49,135,14,101,61.54,77.78,32.67,46.01
GPT-4o-Mini,Zero Shot Self Refine,299,150,149,36,136,13,114,57.53,73.47,24.00,36.18
